Longitude,Latitude,WELL.ID,SOURCE,Arsenic,Barium,Calcium,Chloride,Chromium,Fluoride,Iron,Magnesium,Manganese,Nickel,Nitrate.as.N,Potassium,Selenium,Sodium,Sulfate,Uranium,Vanadium
-121.3354,38.8063,102081,LLNL,14,650,51000,4200000,0.179860752,740,820,37000,49,4.967977057,3908.887178,23000,62,2500000,298.3644746,1.893386059,0.192944323
-121.3354,38.8063,102081,LLNL,15,680,50000,4200000,0.321630758,720,490,35000,51,3.141398903,2740.072681,30000,70,2500000,129.5549221,0.354986928,2.103392816
-121.3354,38.8063,102081,LLNL,13,720,49000,4200000,1.452185367,790,480,35000,47,4.210687437,61.3338904,20000,61,2400000,358.4249587,1.923547221,0.288852281
-121.3354,38.8063,102082,LLNL,5.4,190,38000,1500000,0.43101663,620,190,15000,43,1.91028123,1400.620916,21000,24,1.00E+06,434.3436828,0.560759143,1.258763318
-121.3354,38.8063,102082,LLNL,5.4,200,33000,1400000,0.30341126,580,180,13000,46,4.866011488,332.8143034,16000,25,910000,415.9151138,0.191747816,1.304958117
-121.3354,38.8063,102082,LLNL,4.4,200,33000,1500000,0.190066935,570,170,13000,44,1.690862882,489.2949922,17000,20,9.00E+05,396.6964463,0.504259309,0.308474273
-121.3354,38.8063,102083,LLNL,1.7,94,16000,120000,2,370,230,13000,44,3.833156847,257.8681673,29000,5,410000,115.4918227,0.389419032,1.198193501
-121.3354,38.8063,102083,LLNL,1.5,92,17000,120000,0.055599059,370,220,12000,42,3.577486665,225.9982767,28000,1.530112432,4.00E+05,91.32903209,0.526911217,0.508586739
-121.3354,38.8063,102083,LLNL,1.9,98,16000,120000,2.6,350,210,12000,48,4.440349602,539.8400227,30000,0.762148144,450000,229.0195718,0.509518251,1.258131381
-121.8278,39.4634,102084,LLNL,1.5,44,27000,36000,0.418662826,210,83,10000,61,2.43817349,952.6762268,11000,3.473654119,190000,467.3085323,0.960284912,1.623599946
-121.8278,39.4634,102084,LLNL,1,42,27000,35000,0.853272242,220,83,10000,59,0.626988822,318.3897779,11000,2.606514655,180000,471.0661913,0.535459123,0.354857111
-121.8278,39.4634,102084,LLNL,0.061347045,43,26000,36000,0.082353909,220,80,10000,58,1.400880053,77.17799961,10000,4.436758378,170000,215.88802,0.229349309,0.712346138
-122.117,39.5856,102085,LLNL,26,200,2.00E+06,1.40E+07,0.295016719,89,4200,1.00E+06,830,11,18724.96384,1.00E+05,30,4700000,1700000,0.448982123,0.731113227
-122.117,39.5856,102085,LLNL,22,230,1900000,1.30E+07,5.752311104,87,4200,1.00E+06,1100,7.293226221,1933.983866,180000,99,4600000,1800000,2.738635772,2.171377509
-122.117,39.5856,102085,LLNL,7.5,200,1800000,1.30E+07,0.550450028,85,4200,940000,880,13,709.2711998,170000,28,4300000,1650000,0.408450394,1.031711751
-122.0326,39.5595,102086,LLNL,12,220,940000,4400000,0.107014465,160,1800,270000,890,5.1,3602.007136,55000,10,1400000,560000,0.041484674,1.14815159
-122.0326,39.5595,102086,LLNL,5.7,220,980000,4400000,0.851110972,150,1800,280000,1100,11,649.3895058,54000,25,1400000,620000,1.088696458,1.348391298
-122.0326,39.5595,102086,LLNL,2.6,220,920000,4300000,0.357792559,150,1700,260000,1000,5.4,1335.010646,54000,8.7,1400000,570000,0.318259781,0.101323805
-121.9083,39.5771,102087,LLNL,4.7,27,52000,130000,0.625020564,270,12.13743846,15000,70,2.920904664,11000,5600,3.342414545,150000,180000,1.11,3.6
