Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Zürich / Fluntern
Altitude [m asl]:         556 m
Coordinates:              47° 22.7' N / 8° 33.9' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.01.2021


Year  Month        Temperature      Precipitation  
1902      7               17.7              145.0  
1902      8               16.1              179.0  
1902      9               13.0               97.2  
1902     10                7.7              112.3  
1902     11                2.1               19.0  
1902     12               -1.3               76.9  
1903      1               -1.2               54.3  
1903      2                2.1               26.6  
1903      3                5.4               52.5  
1903      4                4.5               50.4  
1903      5               12.4               47.2  
1903      6               14.3               96.9  
1903      7               16.1              162.9  
1903      8               16.6              169.8  
1903      9               13.5               70.3  
1903     10                9.4              126.3  
1903     11                3.7              107.6  
1903     12               -1.5               26.3  
1904      1               -2.3               43.7  
1904      2                1.2              110.9  
1904      3                3.7               52.3  
1904      4                9.6               88.9  
1904      5               13.3              124.9  
1904      6               16.4              116.2  
1904      7               20.0               37.4  
1904      8               18.2               82.2  
1904      9               11.6               99.9  
1904     10                8.4               62.3  
1904     11                2.2               63.1  
1904     12                0.9               52.3  
1905      1               -3.2               48.2  
1905      2                0.7               25.7  
1905      3                4.7              123.8  
1905      4                7.9              118.8  
1905      5               10.8              106.0  
1905      6               16.5              105.0  
1905      7               20.0               99.7  
1905      8               16.8              241.3  
1905      9               13.4              148.2  
1905     10                3.8              110.4  
1905     11                3.0               82.7  
1905     12               -0.3               42.0  
1906      1               -0.1               65.4  
1906      2               -0.6               68.1  
1906      3                2.8               83.9  
1906      4                7.6               23.6  
1906      5               12.7              152.5  
1906      6               14.5               98.3  
1906      7               17.6              182.1  
1906      8               17.4               59.2  
1906      9               12.8               23.7  
1906     10               10.4               30.4  
1906     11                4.8               47.8  
1906     12               -2.3               84.3  
1907      1               -1.9               89.0  
1907      2               -2.5               27.4  
1907      3                2.7               81.3  
1907      4                6.2              100.1  
1907      5               12.9               63.0  
1907      6               15.2              122.3  
1907      7               15.4              142.0  
1907      8               17.3               86.0  
1907      9               13.7               39.5  
1907     10                9.4               51.3  
1907     11                4.2               25.2  
1907     12                2.2              111.1  
1908      1               -3.7               30.5  
1908      2                0.2               88.0  
1908      3                2.6               43.4  
1908      4                5.4               78.6  
1908      5               13.8              122.7  
1908      6               17.8               85.3  
1908      7               17.1              179.7  
1908      8               15.3               80.3  
1908      9               12.3              146.2  
1908     10                7.9               12.3  
1908     11                1.6               56.8  
1908     12               -0.6               52.1  
1909      1               -3.1               33.3  
1909      2               -2.2               23.2  
1909      3                1.7               66.5  
1909      4                9.1               69.9  
1909      5               11.4               48.0  
1909      6               13.9              210.5  
1909      7               15.0              156.4  
1909      8               16.2              128.9  
1909      9               12.7               66.3  
1909     10                9.9               75.5  
1909     11                2.1               31.3  
1909     12                1.8              107.0  
1910      1                0.3              167.3  
1910      2                1.4               70.3  
1910      3                4.0               31.9  
1910      4                7.0               89.9  
1910      5               10.7              166.5  
1910      6               15.7              205.0  
1910      7               15.5              159.2  
1910      8               16.2              173.6  
1910      9               11.0              102.3  
1910     10                9.2               28.6  
1910     11                2.9              170.5  
1910     12                2.2               81.2  
1911      1               -4.3               26.4  
1911      2                0.5               56.8  
1911      3                4.2               52.3  
1911      4                7.1               42.7  
1911      5               12.5               67.5  
1911      6               15.0              116.4  
1911      7               20.3               40.6  
1911      8               20.4               57.6  
1911      9               15.5               99.8  
1911     10                8.6               56.2  
1911     11                5.3               44.5  
1911     12                2.4               67.7  
1912      1               -0.1               75.7  
1912      2                3.6               42.7  
1912      3                6.6               78.1  
1912      4                7.0               41.5  
1912      5               12.9              130.1  
1912      6               15.5              179.6  
1912      7               16.5               93.7  
1912      8               13.7              196.6  
1912      9                8.4               50.6  
1912     10                6.8              170.6  
1912     11                1.4               50.4  
1912     12                0.8               41.3  
1913      1                0.2               67.3  
1913      2                0.3               18.7  
1913      3                6.3               83.9  
1913      4                7.4               61.5  
1913      5               11.8               63.9  
1913      6               14.8              149.8  
1913      7               14.3              111.5  
1913      8               15.4              134.2  
1913      9               12.4              104.8  
1913     10                9.3               20.6  
1913     11                6.6              102.7  
1913     12                0.9               58.7  
1914      1               -4.5               70.7  
1914      2                1.3               31.9  
1914      3                4.7              156.8  
1914      4               10.1               60.5  
1914      5               10.0              189.4  
1914      6               14.1              142.8  
1914      7               15.9              109.3  
