DGUNR,XUTM,YUTM,Top,Bottom,RedoxNumber,Texture
,,,24,28.5,-2,5
,,,28.5,32.5,-2,1
,,,32.5,33,-2,5
88. 1158,553551,6219777,don't understand,,-999,-9999
88. 1159,553605,6219744,don't understand,,-999,-9999
88. 1160,553604,6219732,don't understand,,-999,-9999
88. 1161,553594,6219710,don't understand,,-999,-9999
88. 1219,548122,6218432,no data,,-999,-9999
88. 1270,550568,6222845,0,1,1,6
,,,1,1.3,-2,8
,,,1.3,2.4,-2,5
,,,2.4,3.2,1,5
,,,3.2,3.7,1,5
,,,3.7,4.8,1,5
88. 1300,552310,6219098,no data,,-999,-9999
88. 1351,550190,6222475,0,1,1,5
,,,1,2,1,5
,,,2,3,-2,5
,,,3,4,-2,5
,,,4,5,-2,5
,,,5,6,-2,5
,,,6,7,1,3
,,,7,8,-1,5
,,,8,9,-2,5
,,,9,10,-2,5
,,,10,11,-2,5
,,,11,12,-2,5
,,,12,13,-2,5
,,,13,14,-2,5
,,,14,15,-2,5
,,,15,16,-2,5
,,,16,17,-2,5
,,,17,18,-2,5
,,,18,19,-2,5
,,,19,20,-2,5
,,,20,21,-2,5
,,,21,22,-2,5
,,,22,23,-2,5
,,,23,24,-2,5
,,,24,25,-2,5
,,,25,26,-2,5
,,,26,27,-2,5
,,,27,28,-2,5
,,,28,29,-2,5
,,,29,30,-2,5
,,,30,31,-2,5
,,,31,32,-2,5
,,,32,33,-2,5
,,,33,34,-2,5
,,,34,35,-2,5
,,,35,36,-2,5
,,,36,37,-2,5
,,,37,38,-2,5
,,,38,39,-2,5
,,,39,40,-2,5
,,,40,41,-2,5
,,,41,42,-2,5
,,,42,43,-2,5
,,,43,44,-2,5
,,,44,45,-2,5
,,,45,46,-2,5
,,,46,47,-2,5
,,,47,48,1,3
,,,48,49,1,3
,,,49,50,-2,5
,,,50,51,-2,3
,,,51,52,-2,5
,,,52,53,-2,5
,,,53,54,-2,2
,,,54,55,-1,3
,,,55,56,1,3
,,,56,57,1,3
,,,57,58,1,3
,,,58,59,1,3
,,,59,60,-2,5
,,,60,61,-2,5
,,,61,62,-2,5
,,,62,63,-2,5
,,,63,64,-2,5
,,,64,65,-2,5
,,,65,66,-2,5
,,,66,67,-2,5
,,,67,68,1,5
,,,68,69,1,5
,,,69,70,-2,5
,,,70,71,-2,5
,,,71,72,-2,3
,,,72,73,-2,3
,,,73,74,-2,5
,,,74,75,-2,5
,,,75,76,-2,5
,,,76,77,-2,5
,,,77,78,-2,5
,,,78,79,-2,5
,,,79,80,-2,5
,,,80,81,-2,5
,,,81,82,-2,5
,,,82,83,-2,5
,,,83,84,-2,5
,,,84,84.5,-2,5
,,,84.5,85,1,5
88. 1377,554697,6218884,no data,,-999,-9999
88. 1436,555399,6218693,no data,,-999,-9999
88. 1438,551708,6222039,no data,,-999,-9999
88. 1553,552281,6221581,no data,,-999,-9999
88. 1583,549556,6218464,no data,,-999,-9999
88. 1584,549390,6218437,no data,,-999,-9999
88. 1585,553595,6220430,no data,,-999,-9999
88. 1598,549563,6218302,no data,,-999,-9999
88. 1629,547947,6222628,no data,,-999,-9999
88. 1668,554466,6219253,0,0.5,-999,-9999
,,,0.5,6,2,3
,,,6,11,-1,4
,,,11,18,-2,3
,,,18,25,-2,3
,,,25,31,-2,4
,,,31,37,-2,3
,,,37,43,-2,3
,,,43,46,-2,3
,,,46,47,-2,3
88. 1669,548787,6218263,no data,,-999,-9999
88. 1764,549328,6218488,no data,,-999,-9999
88. 218,550993,6218558,0,6,-999,-9999
,,,6,9,-999,-9999
,,,9,17.5,-999,-9999
88. 49,548237,6222437,no data,,-999,-9999
88. 500,548637,6218252,0,4,-999,5
,,,4,18,-999,3
88. 524,555398,6222025,0,4,-1,5
,,,4,20.3,-2,5
,,,20.3,23,-2,3
,,,23,26.2,-2,3
,,,26.2,30.55,-2,3
,,,30.55,39.15,-2,3
88. 525,550323,6222854,no data,,-999,-9999
88. 53,554701,6218913,0,2,-999,5
,,,2,9,-999,3
,,,9,,-999,5
88. 569,553998,6219923,0,25,-999,-9999
,,,25,30,-999,-9999
88. 575,554152,6222789,0,5.5,1,5
,,,5.5,16,-2,5
,,,16,19,-1,3
,,,19,31,-2,5
,,,31,40,-1,3
,,,40,46,-2,5
88. 578,550266,6222857,0,1.5,2,3
,,,1.5,3,2,5
,,,3,13.5,-2,5
,,,13.5,30.5,-999,5
,,,30.5,34,-999,3
,,,34,45,-2,3
,,,45,48,-999,-9999
88. 579,548554,6221666,0,4.3,2,5
,,,4.3,20.5,-2,5
,,,20.5,48.5,-999,3
,,,48.5,53.5,-999,3
,,,53.5,62,-999,3
88. 63,550234,6218502,no data,,-999,-9999
88. 631,548688,6219745,0,25,-999,-9999
,,,25,27,-999,3
,,,27,35,-999,5
,,,35,56,-999,3
88. 633,550000,6218986,0,55,-999,-9999
,,,55,56,-2,5
88. 687,552969,6219283,0,3.5,2,5
,,,3.5,8.5,2,2
,,,8.5,14,2,2
,,,14,20,-2,2
,,,20,21.5,-2,2
,,,21.5,26.25,-2,5
,,,26.25,33,-2,3
,,,33,42,-2,3
,,,42,42.5,-2,5
88. 698,548567,6221673,0,0.5,2,8
,,,0.5,7,1,5
,,,7,22,-2,3
,,,22,38,-1,-9999
,,,38,48,-1,-9999
,,,48,54,-2,-9999
,,,54,60.5,-2,-9999
,,,60.5,61,2,-9999
88. 699,549219,6217810,0,2.6,1,3
,,,2.6,11,-2,4
,,,11,21.2,-999,5
,,,21.2,32,-2,4
,,,32,39.3,-2,5
,,,39.3,48,-2,4
,,,48,71,-2,5
,,,71,113.8,-2,5
,,,113.8,116.6,-2,3
,,,116.6,119.4,-2,4
88. 711,548530,6221458,0,0.4,-999,8
,,,0.4,4.5,-1,5
,,,4.5,22.5,-2,5
,,,22.5,34,1,2
,,,34,48.5,-1,3
,,,48.5,53,-2,5
,,,53,57.5,-2,3
,,,57.5,62,-2,5
,,,62,63.5,-2,5
88. 735,555598,6218603,0,4,-2,3
,,,4,7,-2,5
,,,7,8.7,2,3
,,,8.7,13,-2,5
88. 736,555588,6218543,0,5,2,5
,,,5,10,1,5
,,,10,15,-2,5
,,,15,20,-2,5
,,,20,25,-999,5
,,,25,32,-2,5
,,,32,34,1,5
,,,34,39,-999,5
,,,39,45,-2,5
,,,45,50,1,5
,,,50,55,-2,5
,,,55,60,2,5
,,,60,65,2,5
88. 741,555579,6218791,0,1.8,2,3
,,,1.8,5,2,5
,,,5,7,-2,5
,,,7,10,-2,5
,,,10,15,-2,5
,,,15,20,-2,5
88. 749,548167,6219675,0,2,2,3
,,,2,4.5,2,3
,,,4.5,6,2,5
,,,6,51,-2,3
