x,y,Au,Ag,As,Ba,Be,Bi,Cd,Co,Cr,Cu,Mn,Nb,Ni,P,Pb,Rb,Sb,Sn,Ti,V,W,Zn,Zr,Si,Al,Fe,Mg,Ca,Na,K
25.092,26.423,0.8568,0.15121,10.691,587.3,2.4253,0.31815,0.13173,9.2422,50.7,18.627,574,12.67,21.619,720.3,28.886,117.1,1.5211,2.61,3669.8,65.7,1.684,60.071,302.6,6.349e+05,1.411e+05,41300,12900,15600,16900,28900
0.96852,19.768,1.2219,0.06986,6.74,536.8,2.2277,0.2751,0.09442,9.0825,48.5,15.842,504.2,12.244,21.586,621.5,19.372,97.2,0.704,2.22,3645.4,75.4,1.338,46.991,350.6,5.568e+05,1.221e+05,38200,15700,62200,15900,23900
10.379,35.953,0.6311,0.05694,7.1808,572.9,2.1712,0.22475,0.064765,5.7435,41.6,11.066,374.1,12.64,12.8,604.6,18.707,108.6,0.54734,2.1037,3321.6,52.7,1.217,35.343,442.3,6.566e+05,1.349e+05,29000,10700,14600,21800,30100
28.079,23.335,1.3198,0.090702,10.912,571.6,2.2236,0.29085,0.096956,9.1377,46.3,15.614,497.4,12.09,22.375,709.2,22.98,102.7,1.1169,2.45,3549.4,67.2,1.683,52.921,284.3,6.017e+05,1.326e+05,39400,15400,27800,16400,25900
37.056,17.694,0.3699,0.07757,6.9596,572.6,2.3658,0.30343,0.094416,8.69,46.7,15.061,485.1,12.744,18.631,625.2,24.447,110.6,0.7337,2.24,3716.9,63.4,1.4739,51.716,358.4,6.384e+05,1.375e+05,37800,12800,14500,18000,28900
16.455,25.475,1.0273,0.1096,12.182,545.2,2.1063,0.32043,0.065,10.563,53.3,19.679,379.1,11.88,24.538,698.5,23.629,91.8,1.1207,2.04,3480.1,73.5,1.6269,59.884,220,4.79e+05,1.155e+05,39800,15200,1.119e+05,12300,20200
15.157,30.959,1.1447,0.07474,10.082,591.2,2.5565,0.33219,0.11432,10.17,51.1,19.888,756.7,12.58,20.496,859.2,21.062,120.6,0.7243,2.5,3645.8,69.2,1.6016,58.289,268.1,6.381e+05,1.369e+05,43400,12600,14200,17300,29900
34.521,5.6214,1.0315,0.066062,4.8356,568.5,1.8931,0.17389,0.08673,6.701,44.8,10.707,385.8,9.9027,13.024,633.2,19.929,94.8,0.46345,1.98,3612.6,59.5,0.89911,40.57,230.5,6.4e+05,1.328e+05,33500,11900,17300,20500,26700
14.769,11.01,1.0367,0.0717,8.5416,552.9,2.1517,0.21846,0.06555,6.0417,38.7,10.372,339.4,12.73,14.91,443.6,16.895,105,0.54284,2.66,3239.1,56.4,1.2087,38.148,428.8,6.56e+05,1.244e+05,32400,10000,13700,21000,27700
1.7222,20.113,1.0881,0.07598,9.2436,515.2,2.0017,0.27825,0.11716,8.9122,51.9,20.242,503.5,12.008,23.041,547.5,19.834,93.6,0.8283,2.4241,3388.6,78.7,1.418,51.156,228.6,5.222e+05,1.177e+05,40000,20800,84000,16000,22900
5.9383,9.8602,1.0778,0.088505,7.854,554,2.207,0.273,0.07545,6.9916,42.5,11.989,397,12.42,17.75,516.3,18.622,105.1,0.6677,3.31,3308.7,61.3,1.386,42.282,405.8,6.538e+05,1.309e+05,33900,13700,16400,19900,27800
35.341,22.12,0.375,0.072791,6.0908,578.7,2.0417,0.24614,0.092629,5.6906,38.2,11.014,392.5,10.926,12.128,625,22.65,109.2,0.64975,2.3,3026.6,49.7,1.2135,41.21,361.9,6.688e+05,1.32e+05,27200,10200,12600,21600,30800
21.16,18.417,0.6772,0.076104,5.8776,567.5,1.9989,0.2016,0.096886,7.4987,39.3,12.201,492.1,13.83,14.784,617.2,17.489,109.4,0.62948,2.41,2892.7,51,1.113,40.771,297.8,6.605e+05,1.287e+05,31900,12100,14200,21500,29600
1.5604,28.417,0.4467,0.07116,4.8356,537.3,2.1185,0.2016,0.0657,5.2672,26.9,10.145,351.5,12.902,10.525,443.2,18.07,107.6,0.5071,2.164,2656.8,42,1.089,33.281,412.1,6.237e+05,1.121e+05,24800,7500,11400,25700,28300
7.8124,16.481,1.0418,0.062248,6.0908,512.5,1.851,0.19845,0.07069,5.3653,33.2,8.4553,315.2,10.66,11.42,383.6,18.118,101.9,0.5731,1.8,2781.7,51.9,1.033,34.011,341.9,6.518e+05,1.157e+05,25600,9000,13100,22600,28000
34.775,13.343,0.7337,0.062869,6.9596,576.6,2.2152,0.22261,0.03858,5.4925,38.5,8.563,334.6,11.557,12.817,457.6,19.13,101.2,0.4853,1.78,3185.8,53.1,1.2304,36.145,349,6.661e+05,1.335e+05,28700,10000,13500,22100,28500
13.466,9.2383,1.2786,0.04894,8.774,566,2.2073,0.20366,0.060435,6.951,38.2,9.3896,355.5,10.9,17.483,419.2,17.112,103.3,0.61118,2.34,2964,55.3,1.1002,37.169,292.3,6.637e+05,1.263e+05,30200,10900,14200,19300,27800
22.168,23.429,0.785,0.11605,8.774,569.1,2.2522,0.4788,0.1498,9.7075,53,17.84,609.3,14.18,19.383,727.6,25.455,113.8,1.2647,2.75,3820.7,70.6,1.83,60.835,387.1,6.291e+05,1.353e+05,42100,12300,15400,19300,29400
32.058,14.856,1.0778,0.094971,6.522,623.8,2.1654,0.24354,0.064641,6.3312,32.9,10.232,313.6,11.647,15.259,409.3,19.238,101.4,0.6187,1.81,3181.2,53.1,1.2868,48.188,327,6.815e+05,1.297e+05,28000,9900,17000,24600,29100
4.8202,5.9309,1.2013,0.062979,6.522,542.5,1.978,0.1596,0.05611,5.0089,25.7,7.9269,279.3,9.422,12.47,474.7,15.914,100,0.4994,2.09,2520.8,42,0.895,27.831,342.8,6.232e+05,1.153e+05,21600,10000,34500,23600,27200
30.117,34.041,1.7531,0.097334,10.866,594,2.8274,0.35,0.10048,12.547,68.02,23.247,735.7,13.453,27.979,599,26.756,100.9,0.927,2.7224,4270.8,87.166,1.67,62.721,238.5,6.074e+05,1.403e+05,51400,18500,20100,15800,25500
31.766,19.608,0.3443,0.08321,8.0816,594.1,2.027,0.30879,0.12669,7.1591,42.8,15.331,504,11.15,14.577,731.1,21.92,110.1,0.8418,1.83,3337.2,59.2,1.4964,60.93,283.9,6.523e+05,1.338e+05,34700,11500,13600,19600,28900
30.749,10.179,0.3648,0.0541,5.666,582.2,2.059,0.18439,0.042716,4.8068,26.2,8.25,325,9.7641,9.5912,406.7,18.732,104.2,0.52555,2.86,2384.2,38.6,1.0337,29.247,261.7,7.078e+05,1.236e+05,21200,7700,11200,23500,32200
9.4751,27.609,0.3904,0.06066,5.2476,613.5,2.0971,0.16662,0.05442,4.4709,27.6,8.6977,306.6,9.065,9.218,362.5,16.922,112.3,0.46232,8.3764,2164.4,35,0.86254,32.615,232.1,7.262e+05,1.229e+05,19300,6900,11400,25100,33600
23.08,24.919,2.069,0.10175,8.86,581.5,2.3186,0.3276,0.11683,7.788,45.1,12.254,448.5,12.62,17.189,640.6,23.761,107.3,0.97944,1.85,3371.9,55.8,1.501,44.794,404.2,6.305e+05,1.318e+05,32200,11900,27300,19200,28000
9.2306,20.166,0.8774,0.07117,3.8336,566.2,1.978,0.20265,0.0844,6.2418,29.7,11.196,347.7,9.206,14.69,385.2,18.488,94.4,0.5687,2.13,2494.7,47.1,1.055,39.15,224.1,5.877e+05,1.075e+05,26000,10700,55400,23300,26800
0.71335,19.211,1.4745,0.0564,7.4036,557.4,2.0625,0.2247,0.0807,7.2775,44.5,12.784,442.8,10.275,18.333,530.7,18.186,102.3,0.737,2.47,3297.2,66.4,1.114,37.769,268.3,5.568e+05,1.201e+05,34400,14600,64500,16500,24400
24.557,21.816,2.1831,0.076358,10.446,628.7,2.4914,0.26565,0.11796,11.319,40.4,17.546,299.9,11.69,18.732,388.4,22.022,91.3,0.88935,2.39,3233.8,64.2,1.647,49.876,240.6,6.292e+05,1.288e+05,27900,14900,36600,23600,27300
20.53,18.812,1.0264,0.071538,6.9596,522.6,1.7856,0.231,0.098682,8.8363,46,16.642,485.3,8.921,21.63,442.8,18.724,88.4,0.85816,1.79,2897.7,65.6,1.146,41.921,147.5,5.6e+05,1.139e+05,34300,18500,65500,14400,23200
35.252,36.756,1.3805,0.099047,10.054,539.2,2.329,0.33412,0.1102,12.776,58.4,23.392,585.4,13.689,29.576,558.3,22.112,96.6,1.022,2.6322,3699.8,76.557,1.8812,63.107,264.5,5.373e+05,1.247e+05,39900,18900,76800,15100,22900
25.021,10.179,1.4126,0.064976,6.0908,565.5,2.128,0.2457,0.082931,7.6461,41,15.761,404.7,10.75,17.325,462.1,19.226,94.5,0.85123,2.32,3048.5,66.6,1.455,40.781,285.1,5.62e+05,1.209e+05,28100,21000,71400,20700,25500
